Count,Zip Codes,Borough,Neighborhood,Precinct
4,11206,Brooklyn,Bushwick and Williamsburg,90
4,11221,Brooklyn,Bushwick and Williamsburg,83
4,11237,Brooklyn,Bushwick and Williamsburg,90
4,11216,Brooklyn,Central Brooklyn,79
3,11233,Brooklyn,Central Brooklyn,81
4,11238,Brooklyn,Central Brooklyn,77
4,10027,Manhattan,Central Harlem,28
4,10011,Manhattan,Chelsea and Clinton,10
4,10019,Manhattan,Chelsea and Clinton,18
4,10036,Manhattan,Chelsea and Clinton,18
4,10029,Manhattan,East Harlem,23
3,11225,Brooklyn,Flatbush,71
4,11226,Brooklyn,Flatbush,70
4,10016,Manhattan,Gramercy Park and Murray Hill,17
4,11211,Brooklyn,Greenpoint,94
4,11222,Brooklyn,Greenpoint,94
4,10012,Manhattan,Greenwich Village and Soho,1
4,10014,Manhattan,Greenwich Village and Soho,6
4,10031,Manhattan,Inwood and Washington Heights,30
4,10002,Manhattan,Lower East Side,7
4,10003,Manhattan,Lower East Side,9
4,10009,Manhattan,Lower East Side,9
3,11201,Brooklyn,Northwest Brooklyn,84
4,11205,Brooklyn,Northwest Brooklyn,79
4,11215,Brooklyn,Northwest Brooklyn,78
4,11217,Brooklyn,Northwest Brooklyn,84
4,10023,Manhattan,Upper West Side,20
3,10024,Manhattan,Upper West Side,20
4,10025,Manhattan,Upper West Side,24
