CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
872986408,1/1/2016,0:01:00,12/31/2017,23:59:00,3/5/2018,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,33,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"1,001,936","245,282",40.8399082,-73.93608359,"(40.839908201, -73.936083587)"
911003056,1/1/2016,12:00:00,2/16/2018,12:00:00,2/28/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,OTHER,,,"989,731","222,727",40.77801698,-73.98021132,"(40.778016975, -73.980211324)"
178447094,1/1/2016,8:00:00,3/18/2017,17:00:00,2/21/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,001,606","251,324",40.85649236,-73.93726058,"(40.856492363, -73.93726058)"
713483285,1/1/2016,0:00:00,2/15/2018,19:30:00,2/16/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,"1,001,374","238,163",40.8203697,-73.93813285,"(40.820369696, -73.938132846)"
908438691,1/1/2016,10:00:00,2/11/2018,16:00:00,2/11/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"993,373","229,301",40.79605784,-73.96705231,"(40.79605784, -73.967052307)"
807539955,1/1/2016,12:00:00,1/24/2018,17:00:00,1/24/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,"988,085","217,902",40.76477447,-73.98615725,"(40.764774473, -73.986157253)"
194735658,1/4/2016,12:00:00,1/4/2016,23:00:00,1/11/2018,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,005,250","254,388",40.8648942,-73.92407815,"(40.864894204, -73.92407815)"
851536595,1/8/2016,12:00:00,1/8/2016,12:05:00,5/17/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,"985,850","210,155",40.74351161,-73.99422736,"(40.743511609, -73.994227355)"
593729757,1/18/2016,7:44:00,1/18/2018,7:47:00,1/18/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,DRUG STORE,,,"998,151","234,236",40.80959684,-73.9497856,"(40.809596838, -73.949785598)"
881300600,1/25/2016,12:00:00,3/25/2018,1:00:00,3/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,,,,"984,037","205,508",40.73075688,-74.00076998,"(40.730756883, -74.000769976)"
254166325,1/28/2016,10:00:00,1/28/2018,11:00:00,1/29/2018,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,FRONT OF,RESIDENCE - APT. HOUSE,,,"996,600","231,435",40.80191117,-73.95539357,"(40.801911169, -73.955393569)"
726809803,1/28/2016,12:58:00,1/28/2018,13:12:00,1/28/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"997,293","221,326",40.77416368,-73.9529101,"(40.774163675, -73.952910098)"
980378611,2/1/2016,8:00:00,1/29/2018,18:00:00,1/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,COMMERCIAL BUILDING,,,"989,736","216,243",40.76022007,-73.98019856,"(40.760220074, -73.980198562)"
539064060,2/9/2016,12:00:00,2/13/2016,20:00:00,3/22/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,32,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"999,358","236,472",40.81573205,-73.94542041,"(40.815732053, -73.945420411)"
407166170,2/11/2016,8:00:00,2/11/2016,20:00:00,4/17/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,PUBLIC BUILDING,,,"1,001,797","232,216",40.80404601,-73.9366201,"(40.804046007, -73.936620103)"
