Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
76,56,54,44,34,44,61,45,66,66,69,69,56,40,42,40,33,54,37,49,59,71,71,55,50,43,42,7,32,44,43,48,65,79,74,69,63,57,36
74,48,54,46,32,38,49,45,62,63,68,66,57,54,40,37,32,35,40,62,57,72,69,54,52,58,39,13,17,34,33,65,66,79,76,68,65,64,42
74,49,48,44,35,42,34,51,63,64,66,66,60,57,41,39,26,24,48,51,55,71,68,59,57,51,42,16,16,36,39,70,51,77,73,75,63,48,46
72,53,56,42,14,44,29,48,66,66,67,65,60,47,39,34,22,17,45,47,56,70,69,61,56,46,40,19,30,34,40,72,51,77,72,77,61,43,31
67,52,56,40,11,31,26,46,65,69,69,65,53,44,38,27,31,14,45,51,58,70,69,69,65,51,50,9,26,33,34,61,58,76,73,77,60,48,28
65,52,66,39,25,30,30,48,65,75,72,71,55,45,37,25,36,26,40,52,52,71,64,61,68,46,40,6,26,32,37,56,58,69,77,73,63,49,30
70,58,53,42,31,33,48,48,64,77,70,71,57,41,40,20,36,42,40,47,51,68,64,59,66,40,37,5,30,33,37,54,60,62,74,69,67,51,28
76,59,46,41,31,28,40,49,52,67,71,71,58,41,35,16,38,47,40,44,55,69,65,58,72,39,34,17,25,33,32,53,60,62,76,61,64,45,24
76,61,43,40,40,27,36,52,54,65,71,75,51,49,30,14,19,47,45,47,53,67,64,55,71,39,30,30,26,30,32,54,67,67,73,55,66,40,28
70,50,51,51,40,31,31,50,57,66,75,74,47,40,28,21,19,23,53,49,66,68,68,57,66,25,29,30,39,31,38,54,58,72,72,54,71,34,29
66,53,49,50,26,18,43,50,59,65,74,67,46,41,28,42,30,17,61,51,72,75,69,55,60,24,33,41,45,32,37,60,58,74,70,62,69,33,29
69,56,51,55,25,15,45,56,62,68,73,62,53,37,34,47,30,19,58,48,76,77,64,59,55,32,29,44,32,32,46,51,57,64,72,71,51,37,33
62,61,46,55,22,6,40,57,57,71,81,64,53,41,35,32,31,20,48,45,77,73,71,64,52,39,20,19,26,33,60,52,63,68,71,69,46,43,33
59,57,42,53,22,-1,43,56,58,73,78,67,47,46,34,28,28,21,48,46,69,65,70,70,61,35,22,15,35,31,44,52,67,70,71,68,47,32,40
62,51,39,53,34,13,42,46,62,79,77,61,45,47,19,30,35,20,51,53,64,68,68,67,65,37,20,16,46,32,38,61,63,69,70,67,52,28,46
66,53,51,46,42,35,43,43,65,75,78,61,53,45,17,30,28,24,59,56,63,68,70,70,46,43,23,25,36,30,39,56,64,75,76,67,47,34,35
68,42,40,50,30,35,44,52,63,75,77,59,63,49,24,38,26,29,58,65,66,73,69,68,42,37,32,22,28,27,39,56,66,70,72,68,46,37,37
68,38,46,38,18,27,51,52,61,72,72,70,67,44,31,38,35,34,47,75,70,73,73,68,50,34,34,18,33,28,37,56,73,66,71,70,42,39,28
68,35,57,35,16,24,55,54,66,73,74,69,65,37,23,39,53,34,45,66,70,77,73,69,56,38,45,24,36,33,38,49,75,66,67,68,43,47,26
64,48,46,34,27,39,49,53,64,68,70,68,62,34,20,40,39,33,50,55,71,77,69,71,57,36,34,38,47,30,37,56,69,69,67,65,51,39,37
59,57,42,39,26,44,49,54,72,71,73,68,57,36,30,41,34,42,48,52,71,76,71,71,56,42,32,42,55,31,39,58,65,65,66,67,39,27,47
62,58,42,53,21,38,62,52,68,74,65,65,47,37,37,43,42,24,49,53,68,71,72,66,57,35,35,38,37,32,44,55,62,70,71,62,39,17,40
59,45,33,52,24,35,54,56,69,80,61,64,45,35,38,36,44,23,46,56,76,71,70,68,61,31,38,38,36,35,46,59,62,73,65,60,49,15,36
60,40,32,63,20,36,47,58,67,75,68,58,47,38,38,35,58,36,48,56,71,63,65,69,66,35,36,27,42,35,46,63,66,75,65,57,44,31,36
63,48,36,57,28,37,50,61,64,73,69,54,43,45,36,36,44,42,49,56,68,62,63,70,57,43,28,23,40,33,52,65,67,72,68,59,40,45,33
67,52,51,53,43,33,54,80,77,81,83,64,45,45,42,50,40,40,57,65,72,71,70,76,54,46,26,32,48,42,63,81,70,79,76,76,44,49,38
64,52,58,54,41,34,54,80,75,83,81,69,48,45,50,40,45,45,64,65,69,72,71,78,55,45,21,46,48,41,55,68,70,77,81,67,48,41,41
72,61,53,40,37,49,54,82,72,85,81,63,47,45,37,37,53,44,72,65,70,78,70,69,62,45,15,51,52,45,59,63,77,78,87,61,49,39,52
78,65,43,40,36,54,52,79,75,77,83,61,52,56,40,39,0,51,75,59,75,72,65,62,64,53,17,41,,51,53,76,80,76,87,65,52,42,48
69,55,40,43,34,0,56,75,76,79,78,58,65,54,37,34,0,45,60,58,81,73,69,60,54,46,20,30,,53,48,70,83,73,84,62,49,41,37
0,49,0,0,46,0,0,78,0,75,82,0,49,0,38,30,0,40,0,67,0,77,73,,51,,15,26,,49,,66,,75,74,,54,,42
