Zipcode,Population,Median Age,Household Income,Per Capita Income,Borough,Neighborhood,Mean_2015,Median_2015,Mean_2016,Median_2016,Mean_2017,Median_2017,Mean_2018,Median_2018,4year_Mean,4year_Median
10002,77925.0,41.8,35449.0,30677.0,Manhattan,Lower East Side,182.400477,150,168.8153656,135,174.1416667,129,171.1281604,130.0,174.121417425,136.0
10003,55035.0,32.6,104441.0,91141.0,Manhattan,Lower East Side,220.32889100000003,180,218.89599330000001,169,220.4912294,160,223.0388268,169.0,220.68873512500002,169.5
10009,60141.0,36.8,60521.0,47782.0,Manhattan,Lower East Side,177.7785486,150,165.0710299,135,166.54418569999999,135,170.6918799,140.0,170.021411025,140.0
10011,50711.0,39.8,123208.0,114218.0,Manhattan,Chelsea and Clinton,242.8543465,200,225.7962765,199,225.69172930000002,195,235.3826315,190.0,232.43124595,196.0
10012,24527.0,34.5,104561.0,85491.0,Manhattan,Greenwich Village and Soho,255.21976030000002,200,230.58759669999998,190,224.1767464,185,226.86002030000003,185.0,234.21103092500005,190.0
10014,31794.0,36.8,127973.0,122098.0,Manhattan,Greenwich Village and Soho,252.50082290000003,210,239.3031788,200,244.6524227,200,256.9928841,200.0,248.36232712500004,202.5
10016,51448.0,33.3,109250.0,88762.0,Manhattan,Gramercy Park and Murray Hill,237.5729145,185,214.24559490000001,175,215.0097819,170,219.99916119999997,175.0,221.706863125,176.25
10019,41592.0,39.6,99063.0,94797.0,Manhattan,Chelsea and Clinton,229.5250494,189,215.50851200000002,175,215.0592724,170,228.5746603,180.0,222.16687352500003,178.5
10023,61514.0,42.6,123951.0,114641.0,Manhattan,Upper West Side,234.2628205,190,223.9577709,180,219.7922006,182,219.2621694,180.0,224.31874034999998,183.0
10024,58512.0,43.1,126107.0,113584.0,Manhattan,Upper West Side,205.71611030000003,175,199.24777890000001,165,0.0,0,195.5593486,159.0,150.13080945000002,124.75
10025,94382.0,41.7,82352.0,68995.0,Manhattan,Upper West Side,183.9379285,145,158.4312736,119,166.1832549,110,166.79062549999998,110.0,168.835770625,121.0
10027,65365.0,30.7,45536.0,30256.0,Manhattan,Central Harlem,128.7090482,110,121.0783502,100,135.2292966,100,135.7075095,100.0,130.181051125,102.5
10029,80866.0,34.0,34015.0,27966.0,Manhattan,East Harlem,126.4614399,100,127.4265504,100,129.8853659,98,140.5720678,95.0,131.08635600000002,98.25
10031,62382.0,34.8,44040.0,26417.0,Manhattan,Inwood and Washington Heights,104.3956328,80,99.88337405,75,95.55808216,75,98.00326553,75.0,99.460088635,76.25
10036,26868.0,37.1,93707.0,77462.0,Manhattan,Chelsea and Clinton,218.4371245,175,212.0772082,165,213.93210159999998,168,215.99946239999997,170.0,215.11147417499998,169.5
11201,61907.0,35.0,116446.0,77491.0,Brooklyn,Northwest Brooklyn,180.65195930000002,155,166.9639175,150,174.4396581,145,0.0,0.0,130.513883725,112.5
11205,45148.0,30.0,51574.0,28894.0,Brooklyn,Northwest Brooklyn,165.3754136,115,154.14549399999999,100,140.44034059999998,99,140.64767419999998,99.0,150.1522306,103.25
11206,87767.0,29.2,34122.0,21148.0,Brooklyn,Bushwick and Williamsburg,102.3919704,80,94.99423759,75,94.82142640000001,75,96.82583478,75.0,97.2583672925,76.25
11211,101560.0,30.6,66113.0,39123.0,Brooklyn,Greenpoint,150.991682,129,143.7681933,119,145.7592957,113,146.84005290000002,110.0,146.839805975,117.75
11215,71015.0,35.5,116893.0,67148.0,Brooklyn,Northwest Brooklyn,162.9326134,139,150.0249115,130,144.8844733,129,147.09708999999998,129.0,151.23477205,131.75
11216,57410.0,34.2,56025.0,34644.0,Brooklyn,Central Brooklyn,111.90020690000001,90,110.0225217,85,107.35803490000002,85,110.6364352,85.0,109.97929967500001,86.25
11217,39687.0,35.1,99085.0,63967.0,Brooklyn,Northwest Brooklyn,165.9749734,140,164.3520417,130,163.9941705,130,162.1885121,130.0,164.12742442500002,132.5
11221,84536.0,31.5,47170.0,24707.0,Brooklyn,Bushwick and Williamsburg,95.71307634,75,89.58732451,70,88.3342673,69,87.62993141,68.0,90.31614989,70.5
11222,36845.0,35.0,78287.0,46592.0,Brooklyn,Greenpoint,140.4325361,120,128.62316429999998,109,124.1351882,100,135.6715843,109.5,132.21561822500001,109.625
11225,59497.0,34.7,51926.0,30351.0,Brooklyn,Flatbush,0.0,0,94.74864912,80,95.2943805,80,100.77097509999999,83.0,72.70350117999999,60.75
11226,102585.0,34.1,48495.0,24798.0,Brooklyn,Flatbush,92.68058191,75,84.75418994,70,85.10378259999999,69,85.0334608,69.0,86.8930038125,70.75
11233,74982.0,33.2,36009.0,22163.0,Brooklyn,Central Brooklyn,0.0,0,105.37187379999999,95,100.71900079999999,80,99.17221447,80.0,76.3157722675,63.75
11237,52319.0,30.3,51269.0,23115.0,Brooklyn,Bushwick and Williamsburg,91.91644153,75,86.11498102,69,80.72876263,65,79.21959355,65.0,84.4949446825,68.5
11238,55398.0,35.6,79013.0,49004.0,Brooklyn,Central Brooklyn,144.082211,120,138.25986699999999,106,135.2101273,100,137.8445095,105.0,138.8491787,107.75
