id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
1533652,Charming Studio - Central Park,8178950,Mari,,,10024,40.78156079,-73.97123812,Entire home/apt,150,3,20,4/27/2015,1.1,1,180,201505
3423077,Rockaway Bungalow by the Bay,17253913,Max,,,11693,40.59106085,-73.81424218,Private room,60,1,15,2/5/2015,1.5,1,294,201505
326908,Cozy Mexican Inspired Private Room,1288422,Michelle,,,10024,40.77940992,-73.9698299,Private room,97,4,93,4/16/2015,2.4,1,118,201505
4625178,Modern 1BD with exposed brick,8315139,Lindsey,,,11226,40.65502627,-73.96221184,Entire home/apt,100,1,2,12/29/2014,0.5,1,134,201505
3614041,Manhattan Cozy 1BR Apartment $60,18210143,Jay,,,10463,40.87333615,-73.91123887,Entire home/apt,60,1,2,9/26/2014,0.2,1,268,201505
4567450,NYC West Side Apt Share*mini hostel,3759584,Aaron,,,10025,40.7942848,-73.96248103,Private room,65,2,0,,,3,298,201505
1891670,X - Large Studio Apt on the UES ,4440772,Clare,,,10128,40.77234472,-73.94395216,Entire home/apt,155,2,10,4/27/2015,0.6,1,91,201505
1741735,CENTRAL PARK SOUTH Cheap and Chic,6547074,Charlie,,,10019,40.766321,-73.9769199,Entire home/apt,139,5,27,4/16/2015,1.6,1,303,201505
682155,Chic BDR 1 block from Central Park,3392287,Roxanne,,,10029,40.79424083,-73.9514875,Private room,95,1,95,4/17/2015,3,3,331,201505
4782411,Modern 2BR overlooking Central Park,2913958,Lionel,,,10025,40.79990389,-73.95829236,Entire home/apt,185,2,4,4/24/2015,1.5,1,266,201505
4652059,Authentic&Raw 2BD Williamsburg Apt.,24081568,Eyal,,,11249,40.71956155,-73.96857855,Entire home/apt,280,1,10,4/23/2015,1.9,1,332,201505
1017491,Beautiful Wall St. Apartment Share!,5599939,David,,,10005,40.69756729,-74.00560228,Shared room,55,3,15,5/13/2014,0.6,1,355,201505
3548133,Glamorous 1 BR in the Heart of NYC,4422876,Eren,,,10019,40.76674475,-73.97782831,Entire home/apt,175,1,8,4/23/2015,0.9,1,344,201505
920716,Brownstone Studio off Central Park!,4948840,Lisa,,,10023,40.77245068,-73.97485033,Entire home/apt,150,1,36,4/26/2015,1.4,1,137,201505
697499,Near Central Park (Studio apt) ,1372779,Charlie,,,10023,40.77380587,-73.9769405,Entire home/apt,169,3,31,1/17/2015,1.1,1,113,201505
4854417,Beautiful UW Apt. on Central Park,24973197,Yael,,,10025,40.79493614,-73.96076941,Entire home/apt,230,3,1,1/9/2015,0.3,1,112,201505
4502642,1 BDRM literally on Central Park,5755982,Mark,,,10025,40.79816516,-73.95936217,Entire home/apt,299,2,4,1/29/2015,0.7,2,356,201505
2698984,Huge Modern Waterfront Home,13811875,Grace,,,11357,40.79837217,-73.81421056,Entire home/apt,400,3,0,,,1,356,201505
644841,Spacious Sunny East Village 1 Bdrm,3212262,Barbara,Manhattan,East Village,10003,40.72908687,-73.9894875,Entire home/apt,189,1,8,4/4/2015,0.2,1,349,201505
767429,Amazing Apartment & Stunning View ,1301576,Siobhan,,,10016,40.74266822,-73.97156655,Entire home/apt,250,4,5,1/7/2015,0.2,2,238,201505
2831347,LUXURIOUS LIVING,740721,Kofi,,,11109,40.74837995,-73.95547428,Private room,200,1,0,,,1,365,201505
2498576,"Victorian Mansion, Dreamer's Suite",2675644,Alissa,,,10301,40.64876608,-74.08387344,Private room,79,2,19,4/3/2015,1.7,15,298,201505
388373,Wow Historical Brooklyn New York!,1943161,Al,Brooklyn,East Flatbush,11203,40.64804912,-73.93176516,Private room,55,3,33,10/2/2014,0.9,4,360,201505
6198087,Amazing Soho Location,11495153,Dana,Manhattan,Nolita,10012,40.72167381,-73.99495523,Entire home/apt,215,1,0,,,3,354,201505
840989,One Stop to Harlem: Women Only!,2702260,Latasha,,,10026,40.79864744,-73.95405242,Private room,65,7,21,1/6/2015,0.9,1,269,201505
2339174,5TH AVENUE ROOM + PRIVATE BATHROOM!,11947194,Alina And Gene,,,10029,40.7955424,-73.95030605,Private room,100,2,26,4/25/2015,2,2,337,201505
4652647,Cozy one bedroom in 4 br apartment ,24084622,Edina,,,10002,40.70964471,-73.98874229,Private room,89,2,4,4/26/2015,0.9,1,245,201505
899740,"Park Slope, Brooklyn, F train, 1br",425332,Aileen S.,,,11215,40.66441046,-73.97667813,Entire home/apt,155,2,6,9/4/2014,0.2,1,343,201505
770960,Cozy 1 BR in Prospect Heights,4067211,Stephane & Hana,,,11238,40.67235764,-73.96729667,Entire home/apt,145,2,8,11/16/2014,0.3,1,283,201505
1651065,Sleep well in the heart of the city,834748,Syma,,,10002,40.7066926,-73.99760855,Private room,80,1,49,4/28/2015,2.6,1,343,201505
726437,BEAUTIFUL TRIBECA LOFT-X2 SOHO!,1001259,Patricia & James,Manhattan,Tribeca,10013,40.71956035,-74.00512469,Entire home/apt,595,14,7,12/30/2014,0.2,1,303,201505
4615111,09. 3 Bedroom Apt. - 2 BR available,15191989,Emmanuel,Manhattan,Upper West Side,10025,40.80289893,-73.9666672,Private room,89,1,1,4/5/2015,1,3,352,201505
4611546,Bridge view in modern Williamsburg,9910168,Hanna,,,11249,40.71271553,-73.96979296,Private room,125,3,1,1/31/2015,0.3,1,365,201505
5402735,Penthouse with Central Park view,5203256,Zachary,,,10026,40.79844514,-73.9549236,Entire home/apt,95,4,0,,,1,46,201505
4597892,Comfortable Room Near Prospect Park,10348221,Erik,Brooklyn,Flatbush,11226,40.63800513,-73.95860012,Private room,50,3,1,1/31/2015,0.3,1,134,201505
911191,Directly Across from Prospect Park!,4856536,Iko,,,11225,40.65295663,-73.9677866,Private room,52,3,67,4/10/2015,2.5,2,178,201505
5736108,Nice and quiet room,29745837,Lisa,,,10032,40.8376411,-73.94926965,Private room,45,21,0,,,1,78,201505
1129228,One-of-a-kind NYC Gem: 1 BR 1.5 BA,3594646,Michael,,,10044,40.75890475,-73.9545144,Entire home/apt,350,3,23,5/1/2015,1.1,1,348,201505
1262689,Lovely Apt. Steps from Central Park,490191,Dorothy,,,10029,40.78911675,-73.95511777,Entire home/apt,150,2,7,12/1/2014,0.3,1,70,201505
4414634,Sun drenched three window room ,13241955,Gloria,,,11218,40.64697426,-73.98473642,Private room,65,2,6,4/21/2015,1.1,3,322,201505
4519644,"Cozy 1 bdrm, perf for sight-seeing",6202664,Margaret,Manhattan,Hell's Kitchen,10019,40.76648775,-73.98485193,Entire home/apt,175,3,5,4/15/2015,1.3,1,304,201505
6094869,2 bedrooms Macy's&Times SQ,9586465,Lang,Manhattan,Hell's Kitchen,10018,40.75505048,-73.99545676,Entire home/apt,149,1,0,,,4,114,201505
328798,Sunny Gem steps from Prospect Park,1679277,Albano,Brooklyn,Prospect Heights,11238,40.67615275,-73.96992585,Entire home/apt,140,3,22,4/3/2015,0.6,1,138,201505
44461, Private  Bedroom with Private Bath,195137,James,Manhattan,Harlem,10031,40.82295535,-73.95129383,Private room,110,1,45,2/18/2015,0.8,4,362,201505
1692262,Open Design Williamsburg Loft,8939428,Margo & Dave,,,11211,40.71092678,-73.96951156,Entire home/apt,269,2,58,4/6/2015,3.2,1,262,201505
5912728,Stunning Soho loft,23564279,Tom,Manhattan,SoHo,10013,40.72421049,-74.0032231,Entire home/apt,1600,3,0,,,1,365,201505
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,,,11201,40.70573268,-73.9869747,Entire home/apt,400,2,22,1/3/2015,0.8,2,120,201505
1839341,Modern Waterfront 2Bed Williamsburg,9610339,Cris,,,11249,40.71873421,-73.96591106,Entire home/apt,330,5,14,2/6/2015,1.1,1,124,201505
3423140,One bedroom,17254188,Christian,Manhattan,Upper West Side,10023,40.77464508,-73.98831591,Private room,80,1,0,,,1,285,201505
2148099,Nice Astoria Apt for Super Bowl,10964020,Wes,Queens,Astoria,11103,40.75841548,-73.91477264,Entire home/apt,300,1,0,,,1,346,201505
1928961,Futon 2.0,9989761,Gaudhi,,,10026,40.79871191,-73.95420617,Shared room,45,1,68,4/21/2015,4,2,297,201505
3262961,Spacious Prospect Park Apartment!,14137679,Megan,,,11226,40.65417993,-73.96413179,Private room,60,1,3,8/19/2014,0.3,1,303,201505
4456094,"Big, Cozy and Charming Studio",23122658,Rachel,,,11238,40.67503023,-73.97001001,Entire home/apt,145,1,1,4/10/2015,1,1,330,201505
72855,Coney Island Entire  Apt  Wi Fi 2,72808,Edwin,,,11224,40.58023982,-73.9872215,Entire home/apt,75,2,103,4/7/2015,2.5,5,334,201505
1869097,STYLISH NYC LOFT ON CENTRAL PARK,164355,Gil,,,10024,40.78763149,-73.96741572,Entire home/apt,145,3,2,7/31/2014,0.1,1,172,201505
2045245,Parkside sunny spacious bedroom ,10159354,Christine,,,11218,40.65075517,-73.97188715,Private room,99,2,3,10/27/2014,0.3,1,362,201505
2501809,Prospect Park and Brooklyn Pad. ,12806055,Daniel,,,11225,40.65593684,-73.96318386,Private room,75,1,0,,,1,365,201505
5691598,Amazing 2 BR apt,26945822,Marissa,,,10025,40.79583854,-73.96051263,Entire home/apt,200,1,0,,,2,365,201505
61747,Spacious Studio Apt. in Brooklyn,299370,David,,,11225,40.66144452,-73.96368736,Entire home/apt,80,2,19,4/13/2015,0.4,1,119,201505
2039945,Photographer LOFT w/ Manhattan VIEW,10464188,David,,,11249,40.70873461,-73.97342228,Entire home/apt,145,2,60,4/26/2015,3.8,1,50,201505
