id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
6627449,Large 1 BDRM in Great location,13886510,Arlene,Bronx,City Island,10464,40.84913093,-73.78568633,Entire home/apt,125,3,12,10/24/2016,0.62,1,308,201702
5557381,Quaint City Island Home,28811542,Phoebe,Bronx,City Island,10464,40.84959197,-73.78891184,Private room,69,3,80,1/26/2017,3.86,1,346,201702
1886820,Quaint City Island Community. ,9815788,Steve,Bronx,City Island,10464,40.8404676,-73.78304478,Entire home/apt,300,7,0,,,1,365,201702
9115700,Little Tibet.,47500783,Gigmy,Bronx,City Island,10464,40.85494659,-73.79007604,Entire home/apt,139,1,2,1/8/2017,1.67,1,361,201702
3943387,Cozy City Island Room/Private Bath,20433973,Julia,Bronx,City Island,10464,40.83916449,-73.78157912,Private room,65,1,21,10/22/2016,0.77,1,362,201702
11675715,Cozy 1 BR Basement Apartment,56714504,Josue,Bronx,City Island,10464,40.851441,-73.78508691,Entire home/apt,85,1,56,1/8/2017,5.27,1,345,201702
15220538,Airy and Peaceful Room and Bath in Victorian Home,1843520,Wendy,Bronx,City Island,10464,40.85546867,-73.79005663,Private room,110,2,5,11/26/2016,1.25,1,365,201702
5046189,Peace & Tranquility,23732730,Fenton,Bronx,Allerton,10469,40.86945839,-73.84660485,Entire home/apt,99,1,22,1/3/2017,0.92,2,362,201702
260566,Private Room Guests Homestay,1367090,Toni Ann,Bronx,Allerton,10469,40.86698337,-73.85278939,Private room,40,1,20,9/10/2016,0.35,7,266,201702
10801360,Studio near BX Botanical Garden,4149899,Salam,Bronx,Allerton,10467,40.85915864,-73.86956986,Entire home/apt,90,3,1,9/7/2016,0.2,1,365,201702
8294259,Private Room in House(Queen Bed)  by Montefiore,11305944,Yahaira,Bronx,Allerton,10469,40.86829313,-73.85950837,Private room,55,3,14,6/18/2016,0.84,2,89,201702
182177,PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,10469,40.86456084,-73.85715362,Entire home/apt,125,2,194,12/27/2016,2.94,4,169,201702
4303051,Affordable 1 Br Private Apartment Homestay,1367090,Toni Ann,Bronx,Allerton,10469,40.86962062,-73.84859591,Entire home/apt,70,3,5,1/8/2017,0.25,7,299,201702
501568,Affordable Private Room Homestay,1367090,Toni Ann,Bronx,Allerton,10469,40.8668436,-73.85114118,Private room,42,4,31,12/16/2016,0.55,7,365,201702
759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,10469,40.86612552,-73.8556151,Private room,85,5,32,1/3/2017,0.63,4,316,201702
16604416,Quiet peaceful studio apartment,32076760,Bryan,Bronx,Allerton,10469,40.86635374,-73.85218515,Private room,100,3,0,,,1,0,201702
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,10469,40.86677974,-73.85888585,Private room,48,2,48,1/3/2017,1.52,4,356,201702
4407790,Retreat Room,16286162,Pat,Bronx,Allerton,10469,40.86658438,-73.8576572,Private room,51,2,32,10/31/2016,1.16,4,315,201702
13330704,Crazy! New Year's Sale All Inclusive Act Now!,73456197,Ray,Bronx,Allerton,10462,40.85806639,-73.86378321,Private room,40,1,36,1/14/2017,4.54,2,276,201702
5647069,THE ROOM by Christian and Carla,873273,Christian & Carla,Bronx,Allerton,10469,40.86516046,-73.85492597,Private room,85,1,2,12/29/2016,0.09,4,180,201702
4462008,Twin  room,16286162,Pat,Bronx,Allerton,10469,40.867897,-73.85756455,Private room,48,2,66,12/26/2016,2.73,4,343,201702
12496118,Entire Home in NYC- 1 bedroom,11305944,Yahaira,Bronx,Allerton,10469,40.86952297,-73.858972,Entire home/apt,90,2,18,1/1/2017,1.96,2,89,201702
3435196,"Spacious Apt, Beautiful Old Brick!",17315252,Tatiana,Bronx,Allerton,10469,40.86377309,-73.85460553,Private room,40,2,11,11/10/2016,2.17,1,43,201702
3429765,Sunny Private Room,16286162,Pat,Bronx,Allerton,10469,40.8677077,-73.85953177,Private room,45,2,63,1/10/2017,2.15,4,310,201702
8143851,Huge Beautiful Bedroom - Astoria,42999189,Kevin,Queens,Ditmars Steinway,11105,40.77634462,-73.91938721,Private room,80,1,0,,,1,0,201702
8194426,Apartment B&B - The Patitsas Family,3118944,Demetri,Queens,Ditmars Steinway,11105,40.77559167,-73.90902605,Private room,450,1,0,,,1,365,201702
14090966,Beatiful Greek Astoria. 30 mins to the city,16861858,Matt,Queens,Ditmars Steinway,11105,40.77366096,-73.90747413,Private room,85,3,0,,,1,66,201702
7631233,Room at astoria,22994376,Yoshihisa,Queens,Ditmars Steinway,11105,40.78091466,-73.91443216,Private room,53,1,0,,,1,0,201702
